"Nombre d'incendies suivant les critères de sélection : 21141"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;49;"34";"34309";"Teyran";"2025-01-08 08:00:00";10;0;0;0;10;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;8961;"83";"83009";"Bandol";"2025-01-08 15:02:00";30;0;30;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;22382;"974";"97422";"Le Tampon";"2025-01-08 17:25:00";50;0;;50;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;47;"34";"34280";"Saint-Nazaire-de-Pézan";"2025-01-08 17:57:00";20;0;0;0;20;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;7516;"11";"11370";"Salles-d'Aude";"2025-01-08 18:10:00";20;0;0;;0;20;;;;;"Mesurées";;;"Non";0;0;0;""
2025;46;"34";"34172";"Montpellier";"2025-01-08 19:22:00";1;0;0;1;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;22424;"974";"97415";"Saint-Paul";"2025-01-09 13:18:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22425;"974";"97421";"Salazie";"2025-01-09 13:31:00";40000;40000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;125;"66";"66138";"Peyrestortes";"2025-01-09 13:32:00";10;0;0;0;10;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;7517;"11";"11262";"Narbonne";"2025-01-09 15:02:00";500;0;0;;0;500;;;;;"Mesurées";;;"Non";0;0;0;""
2025;126;"66";"66176";"Saint-Hippolyte";"2025-01-09 16:08:00";30000;0;0;0;0;30000;;;;;"Estimées";;;"Non";;;;""
2025;45;"34";"34341";"Villeveyrac";"2025-01-09 16:56:00";10;0;0;10;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;7518;"11";"11303";"Puivert";"2025-01-09 18:03:00";5000;0;0;0;0;5000;;;;;"Mesurées";;;"Non";;;;""
2025;22133;"14";"14623";"Saint-Martin-de-Fontenay";"2025-01-09 18:10:00";10;0;;0;10;0;;;;;"Estimées";;;"Non";;;;""
2025;44;"34";"34280";"Saint-Nazaire-de-Pézan";"2025-01-09 18:41:00";20;0;0;0;20;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;127;"66";"66030";"Calce";"2025-01-09 18:41:00";10;0;0;0;10;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;28;"2B";"2B332";"Urtaca";"2025-01-09 19:03:00";300;0;300;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;128;"66";"66210";"Thuir";"2025-01-09 19:11:00";10;0;0;0;10;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;266;"57";"57159";"Créhange";"2025-01-09 19:11:21";10;0;;10;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;""
2025;43;"34";"34135";"Lespignan";"2025-01-09 19:51:00";20;0;0;20;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;267;"57";"57290";"Hampont";"2025-01-09 20:33:31";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;18359;"40";"40282";"Saint-Sever";"2025-01-09 22:40:00";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;56;"06";"06150";"La Turbie";"2025-01-10 08:03:00";10;0;0;10;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;42;"34";"34082";"Combaillaux";"2025-01-10 08:53:00";100;0;0;100;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
